price,bedrooms,bathrooms,sqft_living,sqft_lot,floors
970000,4,3.25,4740,76230,2
985000,4,2.25,4230,37769,2
930000,4,4,6050,84942,2.5
863000,4,2.5,4120,22370,2
988000,4,3,4040,19700,2
868700,3,4.25,3840,6161,2
921500,4,2.5,3670,315374,2
650000,6,2.75,3610,10003,1.5
861990,5,2.75,3595,5639,2
515000,4,3,3590,8249,2
800000,3,3.5,3830,221284,2
810000,4,2.5,3520,15420,2
780000,4,2.5,3500,7048,2
722500,5,2.5,4870,11800,2
467000,3,2.5,3460,6590,2
720000,4,2.5,3450,39683,2
380000,5,3,3450,9914,2
900000,3,2.5,3400,16603,2
859900,4,2.75,3390,6298,2
595000,3,2.5,3370,14402,2
879000,4,2.5,3360,22111,2
455000,4,2.5,3360,7685,2
910000,4,2.5,3350,29242,2
971000,5,3.5,4390,10140,2
927000,4,2.75,3300,12090,2
785000,4,2.5,3300,10514,2
530000,3,2.5,3660,39478,2
480000,4,2.25,3250,34293,2
951000,5,3.25,3250,14342,2
730000,4,2.5,3230,7331,2
737500,4,2.5,3200,36276,2
720000,4,4,3200,7708,2
609900,4,2.5,3190,7399,2
890000,4,3.25,3180,194278,2
900000,3,2.5,3180,12600,2
650000,4,2.5,3180,5438,2
488000,3,2.5,3160,13603,2
819900,5,2.75,3150,7119,2
680000,4,2.5,3140,28037,2
851000,4,2.5,3130,13202,2
843000,3,2.5,3130,8750,2
860000,3,2.25,3060,12095,2
650000,4,2.5,3040,6587,2
274975,3,2.5,3030,45004,2
950000,3,3,4040,14338,2
740000,3,2.5,3000,25341,2
632925,3,2.5,2990,32239,2
725000,4,2.5,2990,29170,2
625000,5,2.5,2990,15085,2
673000,4,2.5,2990,10400,2
849950,3,3,2990,9773,2
802541,5,2.75,2990,6768,2
560000,4,2.5,2940,6000,2
770000,3,2.25,2910,10204,2
395000,4,2.5,2910,5000,2
690000,4,2.5,2900,23488,2
880000,3,2.5,2870,5163,2
770000,4,2.75,3820,26300,2
840000,4,3.5,2840,40139,1
405600,5,1.5,2830,4000,2.5
551000,3,2.5,2830,5802,2
885000,4,2.5,2830,5000,2
675000,4,2.5,2810,11120,2
699900,4,2.75,2810,7302,2
765000,4,2.75,2790,10819,2
378000,4,2.5,2790,4650,2
740500,3,3.5,4380,6350,2
380000,5,2.5,2760,11340,2
686000,4,2.5,2760,6440,2
682000,5,2.75,2760,5000,2
750000,6,1.75,2750,9563,2
630000,4,2.5,2740,43101,2
363000,3,2.5,2740,11872,2
507000,4,2.5,2730,7649,2
