     price_txt  bedrooms_csv  bathrooms_json  sqft_living_xml       max   min     promedio
0     970000.0           4.0            3.25           4740.0  970000.0  3.25  243686.8125
1     985000.0           4.0            2.25           4230.0  985000.0  2.25  247309.0625
2     930000.0           4.0            4.00           6050.0  930000.0  4.00  234014.5000
3     863000.0           4.0            2.50           4120.0  863000.0  2.50  216781.6250
4     988000.0           4.0            3.00           4040.0  988000.0  3.00  248011.7500
5     868700.0           3.0            4.25           3840.0  868700.0  3.00  218136.8125
6     921500.0           4.0            2.50           3670.0  921500.0  2.50  231294.1250
7     650000.0           6.0            2.75           3610.0  650000.0  2.75  163404.6875
8     861990.0           5.0            2.75           3595.0  861990.0  2.75  216398.1875
9     515000.0           4.0            3.00           3590.0  515000.0  3.00  129649.2500
10    800000.0           3.0            3.50           3830.0  800000.0  3.00  200959.1250
11    810000.0           4.0            2.50           3520.0  810000.0  2.50  203381.6250
12    780000.0           4.0            2.50           3500.0  780000.0  2.50  195876.6250
13    722500.0           5.0            2.50           4870.0  722500.0  2.50  181844.3750
14    467000.0           3.0            2.50           3460.0  467000.0  2.50  117616.3750
15    720000.0           4.0            2.50           3450.0  720000.0  2.50  180864.1250
16    380000.0           5.0            3.00           3450.0  380000.0  3.00   95864.5000
17    900000.0           3.0            2.50           3400.0  900000.0  2.50  225851.3750
18    859900.0           4.0            2.75           3390.0  859900.0  2.75  215824.1875
19    595000.0           3.0            2.50           3370.0  595000.0  2.50  149593.8750
20    879000.0           4.0            2.50           3360.0  879000.0  2.50  220591.6250
21    455000.0           4.0            2.50           3360.0  455000.0  2.50  114591.6250
22    910000.0           4.0            2.50           3350.0  910000.0  2.50  228339.1250
23    971000.0           5.0            3.50           4390.0  971000.0  3.50  243849.6250
24    927000.0           4.0            2.75           3300.0  927000.0  2.75  232576.6875
25    785000.0           4.0            2.50           3300.0  785000.0  2.50  197076.6250
26    530000.0           3.0            2.50           3660.0  530000.0  2.50  133416.3750
27    480000.0           4.0            2.25           3250.0  480000.0  2.25  120814.0625
28    951000.0           5.0            3.25           3250.0  951000.0  3.25  238564.5625
29    730000.0           4.0            2.50           3230.0  730000.0  2.50  183309.1250
30    737500.0           4.0            2.50           3200.0  737500.0  2.50  185176.6250
31    720000.0           4.0            4.00           3200.0  720000.0  4.00  180802.0000
32    609900.0           4.0            2.50           3190.0  609900.0  2.50  153274.1250
33    890000.0           4.0            3.25           3180.0  890000.0  3.25  223296.8125
34    900000.0           3.0            2.50           3180.0  900000.0  2.50  225796.3750
35    650000.0           4.0            2.50           3180.0  650000.0  2.50  163296.6250
36    488000.0           3.0            2.50           3160.0  488000.0  2.50  122791.3750
37    819900.0           5.0            2.75           3150.0  819900.0  2.75  205764.4375
38    680000.0           4.0            2.50           3140.0  680000.0  2.50  170786.6250
39    851000.0           4.0            2.50           3130.0  851000.0  2.50  213534.1250
40    843000.0           3.0            2.50           3130.0  843000.0  2.50  211533.8750
41    860000.0           3.0            2.25           3060.0  860000.0  2.25  215766.3125
42    650000.0           4.0            2.50           3040.0  650000.0  2.50  163261.6250
43    274975.0           3.0            2.50           3030.0  274975.0  2.50   69502.6250
44    950000.0           3.0            3.00           4040.0  950000.0  3.00  238511.5000
45    740000.0           3.0            2.50           3000.0  740000.0  2.50  185751.3750
46    632925.0           3.0            2.50           2990.0  632925.0  2.50  158980.1250
47    725000.0           4.0            2.50           2990.0  725000.0  2.50  181999.1250
48    625000.0           5.0            2.50           2990.0  625000.0  2.50  156999.3750
49    673000.0           4.0            2.50           2990.0  673000.0  2.50  168999.1250
50    849950.0           3.0            3.00           2990.0  849950.0  3.00  213236.5000
51    802541.0           5.0            2.75           2990.0  802541.0  2.75  201384.6875
